Occupation	Occupation1	Gender	nIndividuals	AvgTaxableIncome	MedianTaxableIncome
3994 Jewellers	399411 Gem cutter and polisher; Goldsmith; Jeweller; Silversmith	Female	731	44881	38792
3994 Jewellers	399411 Gem cutter and polisher; Goldsmith; Jeweller; Silversmith	Male	1386	59446	50956
3994 Jewellers	399411 Gem cutter and polisher; Goldsmith; Jeweller; Silversmith	Total	2117	54417	46361
3995 Performing Arts Technicians	399511 Broadcast transmitter operator	Female	83	58354	59732
3995 Performing Arts Technicians	399511 Broadcast transmitter operator	Male	298	77536	78161
3995 Performing Arts Technicians	399511 Broadcast transmitter operator	Total	381	73357	73186
3995 Performing Arts Technicians	399512 Camera operator - film, television or video; Motion picture camera operator	Female	167	42458	39511
3995 Performing Arts Technicians	399512 Camera operator - film, television or video; Motion picture camera operator	Male	1963	64036	62085
3995 Performing Arts Technicians	399512 Camera operator - film, television or video; Motion picture camera operator	Total	2130	62344	60090
3995 Performing Arts Technicians	399513 Lighting technician; Technician - lighting	Female	204	42691	42837
3995 Performing Arts Technicians	399513 Lighting technician; Technician - lighting	Male	1247	56188	53697
3995 Performing Arts Technicians	399513 Lighting technician; Technician - lighting	Total	1451	54291	52563
3995 Performing Arts Technicians	399514 Artist - make-up; Make-up artist	Female	1712	37348	32578
3995 Performing Arts Technicians	399514 Artist - make-up; Make-up artist	Male	98	43904	41693
3995 Performing Arts Technicians	399514 Artist - make-up; Make-up artist	Total	1810	37703	33141
3995 Performing Arts Technicians	399515 Musical instrument repairer; Piano tuner; Repairer - musical instruments	Female	27	28537	25858
3995 Performing Arts Technicians	399515 Musical instrument repairer; Piano tuner; Repairer - musical instruments	Male	164	42800	40034
3995 Performing Arts Technicians	399515 Musical instrument repairer; Piano tuner; Repairer - musical instruments	Total	191	40784	38519
3995 Performing Arts Technicians	399516 Audio engineer; Editor - sound; Engineer - sound; Sound engineer or technician; Technician - sound	Female	346	52508	49343
3995 Performing Arts Technicians	399516 Audio engineer; Editor - sound; Engineer - sound; Sound engineer or technician; Technician - sound	Male	3833	58610	54836
3995 Performing Arts Technicians	399516 Audio engineer; Editor - sound; Engineer - sound; Sound engineer or technician; Technician - sound	Total	4179	58104	54514
3995 Performing Arts Technicians	399517 Television equipment operator; Vision mixer - television	Female	144	55413	54649
3995 Performing Arts Technicians	399517 Television equipment operator; Vision mixer - television	Male	554	68511	66164
3995 Performing Arts Technicians	399517 Television equipment operator; Vision mixer - television	Total	698	65809	63853
3995 Performing Arts Technicians	399599 Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser	Female	108	49012	42466
3995 Performing Arts Technicians	399599 Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser	Male	159	70504	63716
3995 Performing Arts Technicians	399599 Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser	Total	267	61811	54549
3996 Signwriters	399611 Signwriter	Female	325	42300	41174
3996 Signwriters	399611 Signwriter	Male	2936	53718	51432
3996 Signwriters	399611 Signwriter	Total	3261	52580	50330
3999 Other Miscellaneous Technicians and Trades Workers	399911 Diver (open water); Clearance diver (navy); Navy - clearance diver (navy)	Female	192	31635	29597
3999 Other Miscellaneous Technicians and Trades Workers	399911 Diver (open water); Clearance diver (navy); Navy - clearance diver (navy)	Male	1452	81071	64905
3999 Other Miscellaneous Technicians and Trades Workers	399911 Diver (open water); Clearance diver (navy); Navy - clearance diver (navy)	Total	1644	75298	57726
3999 Other Miscellaneous Technicians and Trades Workers	399912 Decorator - interior; Interior decorator	Female	786	52980	46690
3999 Other Miscellaneous Technicians and Trades Workers	399912 Decorator - interior; Interior decorator	Male	139	51063	42313
3999 Other Miscellaneous Technicians and Trades Workers	399912 Decorator - interior; Interior decorator	Total	925	52692	45725
3999 Other Miscellaneous Technicians and Trades Workers	399913 Optical dispenser	Female	4063	38427	37897
3999 Other Miscellaneous Technicians and Trades Workers	399913 Optical dispenser	Male	1147	49375	46163
3999 Other Miscellaneous Technicians and Trades Workers	399913 Optical dispenser	Total	5210	40837	39614
3999 Other Miscellaneous Technicians and Trades Workers	399914 Optical mechanic	Female	273	48427	46440
3999 Other Miscellaneous Technicians and Trades Workers	399914 Optical mechanic	Male	458	59514	56469
3999 Other Miscellaneous Technicians and Trades Workers	399914 Optical mechanic	Total	731	55374	52852
3999 Other Miscellaneous Technicians and Trades Workers	399915 Photographic studio assistant	Female	331	30546	26503
3999 Other Miscellaneous Technicians and Trades Workers	399915 Photographic studio assistant	Male	121	36750	36521
3999 Other Miscellaneous Technicians and Trades Workers	399915 Photographic studio assistant	Total	452	32207	29755
3999 Other Miscellaneous Technicians and Trades Workers	399916 Plastics technician; Technician - plastics	Female	21	52016	44421
3999 Other Miscellaneous Technicians and Trades Workers	399916 Plastics technician; Technician - plastics	Male	465	69617	67463
3999 Other Miscellaneous Technicians and Trades Workers	399916 Plastics technician; Technician - plastics	Total	486	68857	66996
3999 Other Miscellaneous Technicians and Trades Workers	399917 Classer - wool; Wool classer	Female	332	32204	31780
3999 Other Miscellaneous Technicians and Trades Workers	399917 Classer - wool; Wool classer	Male	611	43092	39125
3999 Other Miscellaneous Technicians and Trades Workers	399917 Classer - wool; Wool classer	Total	943	39259	36230
3999 Other Miscellaneous Technicians and Trades Workers	399918 Fire protection equipment technician; Technician - fire protection equipment	Female	53	48365	46653
3999 Other Miscellaneous Technicians and Trades Workers	399918 Fire protection equipment technician; Technician - fire protection equipment	Male	2919	75869	71743
3999 Other Miscellaneous Technicians and Trades Workers	399918 Fire protection equipment technician; Technician - fire protection equipment	Total	2972	75378	71395
3999 Other Miscellaneous Technicians and Trades Workers	399999 Technician - coffee machine; Technician - fibre composite; Air force - airborne electronics analyst (air force); Airborne electronics analyst (air force); Coffee machine technician; Designer - irrigation; Fibre composite technician; Irrigation designer; Ski technician; Technician - ski; Classer - hide or skin; Glass blower; Hide or skin classer; Model maker - architectural; Technician - other	Female	1144	47911	44637
3999 Other Miscellaneous Technicians and Trades Workers	399999 Technician - coffee machine; Technician - fibre composite; Air force - airborne electronics analyst (air force); Airborne electronics analyst (air force); Coffee machine technician; Designer - irrigation; Fibre composite technician; Irrigation designer; Ski technician; Technician - ski; Classer - hide or skin; Glass blower; Hide or skin classer; Model maker - architectural; Technician - other	Male	11177	69260	61228
3999 Other Miscellaneous Technicians and Trades Workers	399999 Technician - coffee machine; Technician - fibre composite; Air force - airborne electronics analyst (air force); Airborne electronics analyst (air force); Coffee machine technician; Designer - irrigation; Fibre composite technician; Irrigation designer; Ski technician; Technician - ski; Classer - hide or skin; Glass blower; Hide or skin classer; Model maker - architectural; Technician - other	Total	12321	67278	59325
4110 Health and Welfare Support workers - type not specified	411000 Therapist - type not specified	Female	109	25798	22131
4110 Health and Welfare Support workers - type not specified	411000 Therapist - type not specified	Male	5	18860	19605
4110 Health and Welfare Support workers - type not specified	411000 Therapist - type not specified	Total	114	25493	22111
4111 Ambulance Officers and Paramedics	411111 Ambulance officer; Paramedic	Female	5733	69912	72311
4111 Ambulance Officers and Paramedics	411111 Ambulance officer; Paramedic	Male	9916	85926	85306
4111 Ambulance Officers and Paramedics	411111 Ambulance officer; Paramedic	Total	15649	80059	80547
4112 Dental Hygienists, Technicians and Therapists	411211 Dental hygienist	Female	1792	62523	60424
4112 Dental Hygienists, Technicians and Therapists	411211 Dental hygienist	Male	113	72924	73449
4112 Dental Hygienists, Technicians and Therapists	411211 Dental hygienist	Total	1905	63140	61128
4112 Dental Hygienists, Technicians and Therapists	411212 Dental prosthetist	Female	73	57166	54033
4112 Dental Hygienists, Technicians and Therapists	411212 Dental prosthetist	Male	194	83141	71996
4112 Dental Hygienists, Technicians and Therapists	411212 Dental prosthetist	Total	267	76039	67373
4112 Dental Hygienists, Technicians and Therapists	411213 Dental mechanic or technician; Technician - dental	Female	1008	45607	43498
4112 Dental Hygienists, Technicians and Therapists	411213 Dental mechanic or technician; Technician - dental	Male	1596	62952	58078
4112 Dental Hygienists, Technicians and Therapists	411213 Dental mechanic or technician; Technician - dental	Total	2604	56238	52556
4112 Dental Hygienists, Technicians and Therapists	411214 Dental therapist; Therapist - dental	Female	1363	60146	57155
4112 Dental Hygienists, Technicians and Therapists	411214 Dental therapist; Therapist - dental	Male	106	73777	70768
4112 Dental Hygienists, Technicians and Therapists	411214 Dental therapist; Therapist - dental	Total	1469	61130	58022
4113 Diversional Therapists	411311 Diversional therapist; Therapist - diversional	Female	1689	36997	33134
4113 Diversional Therapists	411311 Diversional therapist; Therapist - diversional	Male	122	37569	35517
4113 Diversional Therapists	411311 Diversional therapist; Therapist - diversional	Total	1811	37035	33373
4114 Enrolled and Mothercraft Nurses	411411 Enrolled nurse; Student enrolled nurse; Air force - medical assistant (air force); Army - medical assistant (army); Navy - medical assistant (navy); Nurse - enrolled; Medical assistant (air force, army, navy); Nurse - student enrolled nurse	Female	15889	45230	44507
4114 Enrolled and Mothercraft Nurses	411411 Enrolled nurse; Student enrolled nurse; Air force - medical assistant (air force); Army - medical assistant (army); Navy - medical assistant (navy); Nurse - enrolled; Medical assistant (air force, army, navy); Nurse - student enrolled nurse	Male	1802	52895	52674
4114 Enrolled and Mothercraft Nurses	411411 Enrolled nurse; Student enrolled nurse; Air force - medical assistant (air force); Army - medical assistant (army); Navy - medical assistant (navy); Nurse - enrolled; Medical assistant (air force, army, navy); Nurse - student enrolled nurse	Total	17691	46011	45301
4114 Enrolled and Mothercraft Nurses	411412 Mothercraft nurse; Nurse - mothercraft	Female	201	43702	40490
4114 Enrolled and Mothercraft Nurses	411412 Mothercraft nurse; Nurse - mothercraft	Total	201	43702	40490
4115 Indigenous Health Workers	411511 Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker	Female	1782	47980	46082
4115 Indigenous Health Workers	411511 Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker	Male	841	50702	47972
4115 Indigenous Health Workers	411511 Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker	Total	2623	48852	46687
4116 Massage Therapists	411600 Masseur - type not specified	Female	62	14071	13929
4116 Massage Therapists	411600 Masseur - type not specified	Male	17	14416	13461
4116 Massage Therapists	411600 Masseur - type not specified	Total	79	14145	13830
4116 Massage Therapists	411611 Massage therapist; Masseur or masseuse - therapeutic, remedial; Myotherapist; Therapist - massage; Therapist - myotherapist; Masseur or masseuse - Thai; Thai masseur	Female	5004	25890	21259
4116 Massage Therapists	411611 Massage therapist; Masseur or masseuse - therapeutic, remedial; Myotherapist; Therapist - massage; Therapist - myotherapist; Masseur or masseuse - Thai; Thai masseur	Male	1457	29621	24025
4116 Massage Therapists	411611 Massage therapist; Masseur or masseuse - therapeutic, remedial; Myotherapist; Therapist - massage; Therapist - myotherapist; Masseur or masseuse - Thai; Thai masseur	Total	6461	26732	21714
4117 Welfare Support Workers	411711 Community support worker	Female	25029	39172	36048
4117 Welfare Support Workers	411711 Community support worker	Male	8850	42401	39645
4117 Welfare Support Workers	411711 Community support worker	Total	33879	40016	36893
4117 Welfare Support Workers	411712 Disabilities support officer	Female	16767	39986	37775
4117 Welfare Support Workers	411712 Disabilities support officer	Male	7841	45285	43204
4117 Welfare Support Workers	411712 Disabilities support officer	Total	24608	41675	39306
4117 Welfare Support Workers	411713 Family support worker	Female	2524	41504	38765
4117 Welfare Support Workers	411713 Family support worker	Male	331	44843	41910
4117 Welfare Support Workers	411713 Family support worker	Total	2855	41891	39428
4117 Welfare Support Workers	411714 Parole officer	Female	999	72595	75255
4117 Welfare Support Workers	411714 Parole officer	Male	377	77557	79882
4117 Welfare Support Workers	411714 Parole officer	Total	1376	73954	76291
4117 Welfare Support Workers	411715 Residential care officer	Female	1570	47746	44832
4117 Welfare Support Workers	411715 Residential care officer	Male	736	52185	52672
4117 Welfare Support Workers	411715 Residential care officer	Total	2306	49163	47024
4117 Welfare Support Workers	411716 Youth worker	Female	8715	44415	42431
4117 Welfare Support Workers	411716 Youth worker	Male	6357	50235	48502
4117 Welfare Support Workers	411716 Youth worker	Total	15072	46870	44569
4211 Child Carers	421100 Child care worker - type not specified; Governess - type not specified	Female	5704	28118	27371
4211 Child Carers	421100 Child care worker - type not specified; Governess - type not specified	Male	353	24453	21246
4211 Child Carers	421100 Child care worker - type not specified; Governess - type not specified	Total	6057	27904	26852
4211 Child Carers	421111 Attendant - creche; Creche attendant; Child care aide; Child care worker; Child carer - child care assistant; Child carer - child care worker; Early childhood worker; Child carer - child care aide	Female	103111	33483	33695
4211 Child Carers	421111 Attendant - creche; Creche attendant; Child care aide; Child care worker; Child carer - child care assistant; Child carer - child care worker; Early childhood worker; Child carer - child care aide	Male	3310	31786	29251
4211 Child Carers	421111 Attendant - creche; Creche attendant; Child care aide; Child care worker; Child carer - child care assistant; Child carer - child care worker; Early childhood worker; Child carer - child care aide	Total	106421	33430	33596
4211 Child Carers	421112 Child carer - family day care worker; Family day care worker	Female	4039	34943	34261
4211 Child Carers	421112 Child carer - family day care worker; Family day care worker	Male	149	36309	32191
4211 Child Carers	421112 Child carer - family day care worker; Family day care worker	Total	4188	34992	34150
4211 Child Carers	421113 Child carer - governess; Child minder; Governess - child care; Nanny; Child carer - child minder	Female	4320	30509	26325
4211 Child Carers	421113 Child carer - governess; Child minder; Governess - child care; Nanny; Child carer - child minder	Male	158	33466	27694
4211 Child Carers	421113 Child carer - governess; Child minder; Governess - child care; Nanny; Child carer - child minder	Total	4478	30613	26348
4211 Child Carers	421114 Out of school hours care worker; Child carer - out of school hours care worker	Female	5028	29292	26459
4211 Child Carers	421114 Out of school hours care worker; Child carer - out of school hours care worker	Male	1095	25700	22817
4211 Child Carers	421114 Out of school hours care worker; Child carer - out of school hours care worker	Total	6123	28650	25661
4221 Education Aides	422111 Aboriginal and Torres Strait Islander education worker	Female	1413	44113	42051
4221 Education Aides	422111 Aboriginal and Torres Strait Islander education worker	Male	606	46461	44841
4221 Education Aides	422111 Aboriginal and Torres Strait Islander education worker	Total	2019	44818	42639
4221 Education Aides	422112 Integration aide (schools)	Female	3662	31137	30182
4221 Education Aides	422112 Integration aide (schools)	Male	296	31810	31379
4221 Education Aides	422112 Integration aide (schools)	Total	3958	31187	30265
4221 Education Aides	422115 Kindergarten assistant; Pre-school aide	Female	4478	31718	28963
4221 Education Aides	422115 Kindergarten assistant; Pre-school aide	Male	63	33907	26597
4221 Education Aides	422115 Kindergarten assistant; Pre-school aide	Total	4541	31749	28915
4221 Education Aides	422116 School services officer; Teacher's aide	Female	62639	35528	33643
4221 Education Aides	422116 School services officer; Teacher's aide	Male	6000	36299	33814
4221 Education Aides	422116 School services officer; Teacher's aide	Total	68639	35595	33656
4230 Personal Carers and Assistants	423000 Carer - type not specified	Female	1856	24782	22992
4230 Personal Carers and Assistants	423000 Carer - type not specified	Male	515	27992	24333
4230 Personal Carers and Assistants	423000 Carer - type not specified	Total	2371	25479	23278
4231 Aged and Disabled Carers	423111 Aged or disabled carer; Carer - aged or disabled; Disabled or aged carer; Home companion; Respite carer	Female	103917	34764	32805
4231 Aged and Disabled Carers	423111 Aged or disabled carer; Carer - aged or disabled; Disabled or aged carer; Home companion; Respite carer	Male	20044	40543	38119
4231 Aged and Disabled Carers	423111 Aged or disabled carer; Carer - aged or disabled; Disabled or aged carer; Home companion; Respite carer	Total	123961	35698	33561
4232 Dental Assistants	423211 Dental assistant; Dental nurse; Nurse - dental	Female	26659	37352	36635
4232 Dental Assistants	423211 Dental assistant; Dental nurse; Nurse - dental	Male	534	34903	28402
4232 Dental Assistants	423211 Dental assistant; Dental nurse; Nurse - dental	Total	27193	37304	36542
4233 Nursing Support and Personal Care Workers	423311 Attendant - medical theatre; Hospital orderly; Orderly - hospital; Theatre attendant - medical; Ward assistant	Female	6476	40860	40496
4233 Nursing Support and Personal Care Workers	423311 Attendant - medical theatre; Hospital orderly; Orderly - hospital; Theatre attendant - medical; Ward assistant	Male	9192	45877	46638
4233 Nursing Support and Personal Care Workers	423311 Attendant - medical theatre; Hospital orderly; Orderly - hospital; Theatre attendant - medical; Ward assistant	Total	15668	43803	43935
4233 Nursing Support and Personal Care Workers	423312 Nursing assistant or aide; Assistant in nursing; Nurse - assistant in nursing; Nurse - nursing assistant or aide	Female	29412	36257	35171
4233 Nursing Support and Personal Care Workers	423312 Nursing assistant or aide; Assistant in nursing; Nurse - assistant in nursing; Nurse - nursing assistant or aide	Male	5052	39873	39223
4233 Nursing Support and Personal Care Workers	423312 Nursing assistant or aide; Assistant in nursing; Nurse - assistant in nursing; Nurse - nursing assistant or aide	Total	34464	36787	35668
4233 Nursing Support and Personal Care Workers	423313 Personal care assistant	Female	20866	33556	32669
4233 Nursing Support and Personal Care Workers	423313 Personal care assistant	Male	3713	38421	37467
4233 Nursing Support and Personal Care Workers	423313 Personal care assistant	Total	24579	34291	33285
4233 Nursing Support and Personal Care Workers	423314 Physio assistant	Female	1608	34168	31265
4233 Nursing Support and Personal Care Workers	423314 Physio assistant	Male	440	38670	38024
4233 Nursing Support and Personal Care Workers	423314 Physio assistant	Total	2048	35135	32921
4234 Special Care Workers	423411 Child or youth residential care assistant; Residential care assistant - child or youth; Child carer - child or youth residential care assistant	Female	1899	38627	36701
4234 Special Care Workers	423411 Child or youth residential care assistant; Residential care assistant - child or youth; Child carer - child or youth residential care assistant	Male	610	41775	40775
4234 Special Care Workers	423411 Child or youth residential care assistant; Residential care assistant - child or youth; Child carer - child or youth residential care assistant	Total	2509	39393	37621
4234 Special Care Workers	423412 Hostel parent	Female	103	31693	27005
4234 Special Care Workers	423412 Hostel parent	Male	53	41021	45363
4234 Special Care Workers	423412 Hostel parent	Total	156	34862	34566
4234 Special Care Workers	423413 Refuge worker	Female	180	46059	44931
4234 Special Care Workers	423413 Refuge worker	Male	46	47201	41659
4234 Special Care Workers	423413 Refuge worker	Total	226	46292	44537
4310 Hospitality Workers - type not specified	431000 Hospitality employee - type not specified	Female	1602	20908	18380
4310 Hospitality Workers - type not specified	431000 Hospitality employee - type not specified	Male	796	24126	20193
4310 Hospitality Workers - type not specified	431000 Hospitality employee - type not specified	Total	2398	21976	18903
4311 Bar Attendants and Baristas	431111 Attendant - bar; Bartender; Hospitality employee - bartender; Bar attendant; Bar manager; Bar person	Female	34381	29454	28047
4311 Bar Attendants and Baristas	431111 Attendant - bar; Bartender; Hospitality employee - bartender; Bar attendant; Bar manager; Bar person	Male	31269	31280	28697
4311 Bar Attendants and Baristas	431111 Attendant - bar; Bartender; Hospitality employee - bartender; Bar attendant; Bar manager; Bar person	Total	65650	30324	28319
4311 Bar Attendants and Baristas	431112 Barista; Hospitality employee - barista	Female	20626	24613	23233
4311 Bar Attendants and Baristas	431112 Barista; Hospitality employee - barista	Male	9333	26458	23988
4311 Bar Attendants and Baristas	431112 Barista; Hospitality employee - barista	Total	29959	25188	23488
4312 Cafe Workers	431211 Cafe worker; Cafeteria worker; Canteen assistant; Hospitality employee - cafe, cafeteria or canteen worker; Hospitality employee - snack bar assistant; Snack bar assistant	Female	27170	24264	21595
4312 Cafe Workers	431211 Cafe worker; Cafeteria worker; Canteen assistant; Hospitality employee - cafe, cafeteria or canteen worker; Hospitality employee - snack bar assistant; Snack bar assistant	Male	7152	24502	20249
4312 Cafe Workers	431211 Cafe worker; Cafeteria worker; Canteen assistant; Hospitality employee - cafe, cafeteria or canteen worker; Hospitality employee - snack bar assistant; Snack bar assistant	Total	34322	24313	21266
4313 Gaming Workers	431311 Croupier; Gaming worker	Female	4441	42534	42806
4313 Gaming Workers	431311 Croupier; Gaming worker	Male	4213	50042	50495
4313 Gaming Workers	431311 Croupier; Gaming worker	Total	8654	46189	46041
4314 Hotel Service Managers	431411 Concierge - hotel; Hotel service manager; Manager - hotel service	Female	1912	45745	45844
4314 Hotel Service Managers	431411 Concierge - hotel; Hotel service manager; Manager - hotel service	Male	2670	49276	47762
4314 Hotel Service Managers	431411 Concierge - hotel; Hotel service manager; Manager - hotel service	Total	4582	47803	47050
4315 Waiters	431511 Drink waiter; Hospitality employee - drink waiter; Hospitality employee - host - dining room; Hospitality employee - steward - food and beverage; Hospitality employee - waiter; Host - dining room; Steward - food and beverage; Waiter; Waitress	Female	91710	22703	20049
4315 Waiters	431511 Drink waiter; Hospitality employee - drink waiter; Hospitality employee - host - dining room; Hospitality employee - steward - food and beverage; Hospitality employee - waiter; Host - dining room; Steward - food and beverage; Waiter; Waitress	Male	29792	25161	20791
4315 Waiters	431511 Drink waiter; Hospitality employee - drink waiter; Hospitality employee - host - dining room; Hospitality employee - steward - food and beverage; Hospitality employee - waiter; Host - dining room; Steward - food and beverage; Waiter; Waitress	Total	121502	23305	20246
4319 Other Hospitality Workers	431911 Bar useful or busser; Hospitality employee - bar useful or busser	Female	1654	27624	25626
4319 Other Hospitality Workers	431911 Bar useful or busser; Hospitality employee - bar useful or busser	Male	1798	25255	22132
4319 Other Hospitality Workers	431911 Bar useful or busser; Hospitality employee - bar useful or busser	Total	3452	26390	23912
4319 Other Hospitality Workers	431912 Attendant - door; Baggage handler - hotel or motel; Door attendant; Hospitality employee - door attendant; Hospitality employee - luggage porter; Luggage porter; Porter - luggage	Female	570	27436	26845
4319 Other Hospitality Workers	431912 Attendant - door; Baggage handler - hotel or motel; Door attendant; Hospitality employee - door attendant; Hospitality employee - luggage porter; Luggage porter; Porter - luggage	Male	1735	37898	37000
4319 Other Hospitality Workers	431912 Attendant - door; Baggage handler - hotel or motel; Door attendant; Hospitality employee - door attendant; Hospitality employee - luggage porter; Luggage porter; Porter - luggage	Total	2305	35310	33430
4319 Other Hospitality Workers	431999 Casino worker - host; Hospitality employee - casino host; Hospitality employee - other; Host - casino; Cellar hand - hotel; Hotel cellar hand	Female	22015	30881	28191
4319 Other Hospitality Workers	431999 Casino worker - host; Hospitality employee - casino host; Hospitality employee - other; Host - casino; Cellar hand - hotel; Hotel cellar hand	Male	13153	35649	32734
4319 Other Hospitality Workers	431999 Casino worker - host; Hospitality employee - casino host; Hospitality employee - other; Host - casino; Cellar hand - hotel; Hotel cellar hand	Total	35168	32665	29665
4411 Defence Force Members - Other Ranks	441111 Acoustic warfare analyst (navy); Air dispatcher (army); Air force - air surveillance operator (air force); Air force - aircraft life support fitter (air force); Air force - geospatial imagery intelligence analyst (air force); Air force - non-commissioned officer - junior (air force); Air force - other ranks (air force); Air force - security police (air force); Air force - signal operator linguist (air force); Air force - signal operator technical (air force); Air surveillance operator (air force); Aircraft life support fitter (air force, army); Aircrewman (navy); Airfield defence guard (air force); Air force - airfield defence guard (air force); Army - operator ground based air defence (army); Army - air dispatcher (army); Army - aircraft life support fitter (army); Army - combat engineer (army); Army - commando (army); Army - crewman armoured personnel carrier M113 (army); Army - crewman Australian light armoured vehicle (ASLAV) (army); Army - crewman main battle tank (army); Army - ground crewman mission support (army); Army - gun number (army); Army - marine specialist (army); Army - non-commissioned officer - junior (army); Army - operator artillery meteorology and surveyor (army); Army - operator electronic warfare (army); Army - operator weapon locating radar (army); Army - other ranks (army); Army - rifleman (army); Combat engineer (army); Combat systems operator (navy); Combat systems operator mine warfare (navy); Commando (army); Crewman armoured personnel carrier M113 (army); Crewman Australian light armoured vehicle (ASLAV) (army); Crewman main battle tank (army); Electronic warfare - linguist (navy); Electronic warfare - technical (navy); Geospatial imagery intelligence analyst (air force); Ground crewman mission support (army); Gun number (army); Marine specialist (army); Naval police coxswain (navy); Navy - acoustic warfare analyst (navy); Navy - aircrewman (navy); Navy - combat systems operator (navy); Navy - combat systems operator mine warfare (navy); Navy - electronic warfare - linguist (navy); Navy - electronic warfare - technical (navy); Navy - naval police coxswain (navy); Navy - non-commissioned officer - junior (navy); Navy - other ranks (navy); Non-commissioned officer - defence - junior; Operator artillery meteorology and surveyor (army); Operator electronic warfare (army); Operator ground based air defence (army); Operator weapon locating radar (army); Rifleman (army); Security police (air force); Signal operator linguist (air force); Signal operator technical (air force); Boatswain's mate (navy); Navy - boatswain's mate (navy)	Female	3964	63980	64830
4411 Defence Force Members - Other Ranks	441111 Acoustic warfare analyst (navy); Air dispatcher (army); Air force - air surveillance operator (air force); Air force - aircraft life support fitter (air force); Air force - geospatial imagery intelligence analyst (air force); Air force - non-commissioned officer - junior (air force); Air force - other ranks (air force); Air force - security police (air force); Air force - signal operator linguist (air force); Air force - signal operator technical (air force); Air surveillance operator (air force); Aircraft life support fitter (air force, army); Aircrewman (navy); Airfield defence guard (air force); Air force - airfield defence guard (air force); Army - operator ground based air defence (army); Army - air dispatcher (army); Army - aircraft life support fitter (army); Army - combat engineer (army); Army - commando (army); Army - crewman armoured personnel carrier M113 (army); Army - crewman Australian light armoured vehicle (ASLAV) (army); Army - crewman main battle tank (army); Army - ground crewman mission support (army); Army - gun number (army); Army - marine specialist (army); Army - non-commissioned officer - junior (army); Army - operator artillery meteorology and surveyor (army); Army - operator electronic warfare (army); Army - operator weapon locating radar (army); Army - other ranks (army); Army - rifleman (army); Combat engineer (army); Combat systems operator (navy); Combat systems operator mine warfare (navy); Commando (army); Crewman armoured personnel carrier M113 (army); Crewman Australian light armoured vehicle (ASLAV) (army); Crewman main battle tank (army); Electronic warfare - linguist (navy); Electronic warfare - technical (navy); Geospatial imagery intelligence analyst (air force); Ground crewman mission support (army); Gun number (army); Marine specialist (army); Naval police coxswain (navy); Navy - acoustic warfare analyst (navy); Navy - aircrewman (navy); Navy - combat systems operator (navy); Navy - combat systems operator mine warfare (navy); Navy - electronic warfare - linguist (navy); Navy - electronic warfare - technical (navy); Navy - naval police coxswain (navy); Navy - non-commissioned officer - junior (navy); Navy - other ranks (navy); Non-commissioned officer - defence - junior; Operator artillery meteorology and surveyor (army); Operator electronic warfare (army); Operator ground based air defence (army); Operator weapon locating radar (army); Rifleman (army); Security police (air force); Signal operator linguist (air force); Signal operator technical (air force); Boatswain's mate (navy); Navy - boatswain's mate (navy)	Male	20538	70491	69049
4411 Defence Force Members - Other Ranks	441111 Acoustic warfare analyst (navy); Air dispatcher (army); Air force - air surveillance operator (air force); Air force - aircraft life support fitter (air force); Air force - geospatial imagery intelligence analyst (air force); Air force - non-commissioned officer - junior (air force); Air force - other ranks (air force); Air force - security police (air force); Air force - signal operator linguist (air force); Air force - signal operator technical (air force); Air surveillance operator (air force); Aircraft life support fitter (air force, army); Aircrewman (navy); Airfield defence guard (air force); Air force - airfield defence guard (air force); Army - operator ground based air defence (army); Army - air dispatcher (army); Army - aircraft life support fitter (army); Army - combat engineer (army); Army - commando (army); Army - crewman armoured personnel carrier M113 (army); Army - crewman Australian light armoured vehicle (ASLAV) (army); Army - crewman main battle tank (army); Army - ground crewman mission support (army); Army - gun number (army); Army - marine specialist (army); Army - non-commissioned officer - junior (army); Army - operator artillery meteorology and surveyor (army); Army - operator electronic warfare (army); Army - operator weapon locating radar (army); Army - other ranks (army); Army - rifleman (army); Combat engineer (army); Combat systems operator (navy); Combat systems operator mine warfare (navy); Commando (army); Crewman armoured personnel carrier M113 (army); Crewman Australian light armoured vehicle (ASLAV) (army); Crewman main battle tank (army); Electronic warfare - linguist (navy); Electronic warfare - technical (navy); Geospatial imagery intelligence analyst (air force); Ground crewman mission support (army); Gun number (army); Marine specialist (army); Naval police coxswain (navy); Navy - acoustic warfare analyst (navy); Navy - aircrewman (navy); Navy - combat systems operator (navy); Navy - combat systems operator mine warfare (navy); Navy - electronic warfare - linguist (navy); Navy - electronic warfare - technical (navy); Navy - naval police coxswain (navy); Navy - non-commissioned officer - junior (navy); Navy - other ranks (navy); Non-commissioned officer - defence - junior; Operator artillery meteorology and surveyor (army); Operator electronic warfare (army); Operator ground based air defence (army); Operator weapon locating radar (army); Rifleman (army); Security police (air force); Signal operator linguist (air force); Signal operator technical (air force); Boatswain's mate (navy); Navy - boatswain's mate (navy)	Total	24502	69437	68403
