"Occupation","Gender","TaxBracket","variable","value","unit"
"1325 Research and Development Managers","Female","e. $180,000 or more","Number of individuals",254,NA
"1325 Research and Development Managers","Male","a. $18,200 or less","Number of individuals",254,NA
"1325 Research and Development Managers","Male","b. $18,201 to $37,000","Number of individuals",331,NA
"1325 Research and Development Managers","Male","c. $37,001 to $80,000","Number of individuals",1132,NA
"1325 Research and Development Managers","Male","d. $80,001 to $180,000","Number of individuals",2536,NA
"1325 Research and Development Managers","Male","e. $180,000 or more","Number of individuals",595,NA
"1331 Construction Managers","Female","a. $18,200 or less","Number of individuals",153,NA
"1331 Construction Managers","Female","b. $18,201 to $37,000","Number of individuals",396,NA
"1331 Construction Managers","Female","c. $37,001 to $80,000","Number of individuals",1572,NA
"1331 Construction Managers","Female","d. $80,001 to $180,000","Number of individuals",1398,NA
"1331 Construction Managers","Female","e. $180,000 or more","Number of individuals",175,NA
"1331 Construction Managers","Male","a. $18,200 or less","Number of individuals",1728,NA
"1331 Construction Managers","Male","b. $18,201 to $37,000","Number of individuals",4908,NA
"1331 Construction Managers","Male","c. $37,001 to $80,000","Number of individuals",17489,NA
"1331 Construction Managers","Male","d. $80,001 to $180,000","Number of individuals",25441,NA
"1331 Construction Managers","Male","e. $180,000 or more","Number of individuals",5075,NA
"1332 Engineering Managers","Female","a. $18,200 or less","Number of individuals",46,NA
"1332 Engineering Managers","Female","b. $18,201 to $37,000","Number of individuals",76,NA
"1332 Engineering Managers","Female","c. $37,001 to $80,000","Number of individuals",310,NA
"1332 Engineering Managers","Female","d. $80,001 to $180,000","Number of individuals",629,NA
"1332 Engineering Managers","Female","e. $180,000 or more","Number of individuals",218,NA
"1332 Engineering Managers","Male","a. $18,200 or less","Number of individuals",557,NA
"1332 Engineering Managers","Male","b. $18,201 to $37,000","Number of individuals",938,NA
"1332 Engineering Managers","Male","c. $37,001 to $80,000","Number of individuals",3842,NA
"1332 Engineering Managers","Male","d. $80,001 to $180,000","Number of individuals",13038,NA
"1332 Engineering Managers","Male","e. $180,000 or more","Number of individuals",5803,NA
"1333 Importers, Exporters and Wholesalers","Female","a. $18,200 or less","Number of individuals",129,NA
"1333 Importers, Exporters and Wholesalers","Female","b. $18,201 to $37,000","Number of individuals",255,NA
"1333 Importers, Exporters and Wholesalers","Female","c. $37,001 to $80,000","Number of individuals",554,NA
"1333 Importers, Exporters and Wholesalers","Female","d. $80,001 to $180,000","Number of individuals",224,NA
"1333 Importers, Exporters and Wholesalers","Female","e. $180,000 or more","Number of individuals",92,NA
"1333 Importers, Exporters and Wholesalers","Male","a. $18,200 or less","Number of individuals",185,NA
"1333 Importers, Exporters and Wholesalers","Male","b. $18,201 to $37,000","Number of individuals",427,NA
"1333 Importers, Exporters and Wholesalers","Male","c. $37,001 to $80,000","Number of individuals",1118,NA
"1333 Importers, Exporters and Wholesalers","Male","d. $80,001 to $180,000","Number of individuals",721,NA
"1333 Importers, Exporters and Wholesalers","Male","e. $180,000 or more","Number of individuals",308,NA
"1334 Manufacturers","Female","a. $18,200 or less","Number of individuals",211,NA
"1334 Manufacturers","Female","b. $18,201 to $37,000","Number of individuals",543,NA
"1334 Manufacturers","Female","c. $37,001 to $80,000","Number of individuals",1474,NA
"1334 Manufacturers","Female","d. $80,001 to $180,000","Number of individuals",343,NA
"1334 Manufacturers","Female","e. $180,000 or more","Number of individuals",26,NA
"1334 Manufacturers","Male","a. $18,200 or less","Number of individuals",573,NA
"1334 Manufacturers","Male","b. $18,201 to $37,000","Number of individuals",1494,NA
"1334 Manufacturers","Male","c. $37,001 to $80,000","Number of individuals",9066,NA
"1334 Manufacturers","Male","d. $80,001 to $180,000","Number of individuals",5617,NA
"1334 Manufacturers","Male","e. $180,000 or more","Number of individuals",428,NA
"1335 Production Managers","Female","a. $18,200 or less","Number of individuals",120,NA
"1335 Production Managers","Female","b. $18,201 to $37,000","Number of individuals",228,NA
"1335 Production Managers","Female","c. $37,001 to $80,000","Number of individuals",818,NA
"1335 Production Managers","Female","d. $80,001 to $180,000","Number of individuals",760,NA
"1335 Production Managers","Female","e. $180,000 or more","Number of individuals",213,NA
"1335 Production Managers","Male","a. $18,200 or less","Number of individuals",281,NA
"1335 Production Managers","Male","b. $18,201 to $37,000","Number of individuals",719,NA
"1335 Production Managers","Male","c. $37,001 to $80,000","Number of individuals",3624,NA
"1335 Production Managers","Male","d. $80,001 to $180,000","Number of individuals",7058,NA
"1335 Production Managers","Male","e. $180,000 or more","Number of individuals",2438,NA
"1336 Supply and Distribution Managers","Female","a. $18,200 or less","Number of individuals",109,NA
"1336 Supply and Distribution Managers","Female","b. $18,201 to $37,000","Number of individuals",313,NA
"1336 Supply and Distribution Managers","Female","c. $37,001 to $80,000","Number of individuals",1692,NA
"1336 Supply and Distribution Managers","Female","d. $80,001 to $180,000","Number of individuals",1340,NA
"1336 Supply and Distribution Managers","Female","e. $180,000 or more","Number of individuals",199,NA
"1336 Supply and Distribution Managers","Male","a. $18,200 or less","Number of individuals",234,NA
"1336 Supply and Distribution Managers","Male","b. $18,201 to $37,000","Number of individuals",584,NA
"1336 Supply and Distribution Managers","Male","c. $37,001 to $80,000","Number of individuals",4622,NA
"1336 Supply and Distribution Managers","Male","d. $80,001 to $180,000","Number of individuals",5888,NA
"1336 Supply and Distribution Managers","Male","e. $180,000 or more","Number of individuals",1030,NA
"1341 Child Care Centre Managers","Female","a. $18,200 or less","Number of individuals",346,NA
"1341 Child Care Centre Managers","Female","b. $18,201 to $37,000","Number of individuals",1151,NA
"1341 Child Care Centre Managers","Female","c. $37,001 to $80,000","Number of individuals",5266,NA
"1341 Child Care Centre Managers","Female","d. $80,001 to $180,000","Number of individuals",1103,NA
"1341 Child Care Centre Managers","Female","e. $180,000 or more","Number of individuals",85,NA
"1341 Child Care Centre Managers","Male","a. $18,200 or less","Number of individuals",20,NA
"1341 Child Care Centre Managers","Male","b. $18,201 to $37,000","Number of individuals",54,NA
"1341 Child Care Centre Managers","Male","c. $37,001 to $80,000","Number of individuals",206,NA
"1341 Child Care Centre Managers","Male","d. $80,001 to $180,000","Number of individuals",96,NA
"1341 Child Care Centre Managers","Male","e. $180,000 or more","Number of individuals",27,NA
"1342 Health and Welfare Services Managers","Female","a. $18,200 or less","Number of individuals",1861,NA
"1342 Health and Welfare Services Managers","Female","b. $18,201 to $37,000","Number of individuals",6006,NA
"1342 Health and Welfare Services Managers","Female","c. $37,001 to $80,000","Number of individuals",14545,NA
"1342 Health and Welfare Services Managers","Female","d. $80,001 to $180,000","Number of individuals",5921,NA
"1342 Health and Welfare Services Managers","Female","e. $180,000 or more","Number of individuals",412,NA
"1342 Health and Welfare Services Managers","Male","a. $18,200 or less","Number of individuals",251,NA
"1342 Health and Welfare Services Managers","Male","b. $18,201 to $37,000","Number of individuals",636,NA
"1342 Health and Welfare Services Managers","Male","c. $37,001 to $80,000","Number of individuals",2501,NA
"1342 Health and Welfare Services Managers","Male","d. $80,001 to $180,000","Number of individuals",2261,NA
"1342 Health and Welfare Services Managers","Male","e. $180,000 or more","Number of individuals",350,NA
"1343 School Principals","Female","a. $18,200 or less","Number of individuals",133,NA
"1343 School Principals","Female","b. $18,201 to $37,000","Number of individuals",182,NA
"1343 School Principals","Female","c. $37,001 to $80,000","Number of individuals",655,NA
"1343 School Principals","Female","d. $80,001 to $180,000","Number of individuals",4847,NA
"1343 School Principals","Female","e. $180,000 or more","Number of individuals",224,NA
"1343 School Principals","Male","a. $18,200 or less","Number of individuals",141,NA
"1343 School Principals","Male","b. $18,201 to $37,000","Number of individuals",155,NA
"1343 School Principals","Male","c. $37,001 to $80,000","Number of individuals",521,NA
"1343 School Principals","Male","d. $80,001 to $180,000","Number of individuals",4436,NA
"1343 School Principals","Male","e. $180,000 or more","Number of individuals",380,NA
"1344 Other Education Managers","Female","a. $18,200 or less","Number of individuals",728,NA
"1344 Other Education Managers","Female","b. $18,201 to $37,000","Number of individuals",1317,NA
"1344 Other Education Managers","Female","c. $37,001 to $80,000","Number of individuals",3442,NA
"1344 Other Education Managers","Female","d. $80,001 to $180,000","Number of individuals",1311,NA
"1344 Other Education Managers","Female","e. $180,000 or more","Number of individuals",113,NA
"1344 Other Education Managers","Male","a. $18,200 or less","Number of individuals",138,NA
"1344 Other Education Managers","Male","b. $18,201 to $37,000","Number of individuals",178,NA
"1344 Other Education Managers","Male","c. $37,001 to $80,000","Number of individuals",529,NA
"1344 Other Education Managers","Male","d. $80,001 to $180,000","Number of individuals",865,NA
"1344 Other Education Managers","Male","e. $180,000 or more","Number of individuals",141,NA
"1351 ICT Managers","Female","a. $18,200 or less","Number of individuals",428,NA
"1351 ICT Managers","Female","b. $18,201 to $37,000","Number of individuals",876,NA
"1351 ICT Managers","Female","c. $37,001 to $80,000","Number of individuals",3524,NA
"1351 ICT Managers","Female","d. $80,001 to $180,000","Number of individuals",6475,NA
"1351 ICT Managers","Female","e. $180,000 or more","Number of individuals",1187,NA
"1351 ICT Managers","Male","a. $18,200 or less","Number of individuals",804,NA
"1351 ICT Managers","Male","b. $18,201 to $37,000","Number of individuals",1563,NA
"1351 ICT Managers","Male","c. $37,001 to $80,000","Number of individuals",8338,NA
"1351 ICT Managers","Male","d. $80,001 to $180,000","Number of individuals",26102,NA
"1351 ICT Managers","Male","e. $180,000 or more","Number of individuals",7004,NA
"1391 Commissioned Officers (Management)","Female","a. $18,200 or less","Number of individuals",30,NA
"1391 Commissioned Officers (Management)","Female","b. $18,201 to $37,000","Number of individuals",114,NA
"1391 Commissioned Officers (Management)","Female","c. $37,001 to $80,000","Number of individuals",871,NA
"1391 Commissioned Officers (Management)","Female","d. $80,001 to $180,000","Number of individuals",894,NA
"1391 Commissioned Officers (Management)","Female","e. $180,000 or more","Number of individuals",51,NA
"1391 Commissioned Officers (Management)","Male","a. $18,200 or less","Number of individuals",128,NA
"1391 Commissioned Officers (Management)","Male","b. $18,201 to $37,000","Number of individuals",318,NA
"1391 Commissioned Officers (Management)","Male","c. $37,001 to $80,000","Number of individuals",3202,NA
"1391 Commissioned Officers (Management)","Male","d. $80,001 to $180,000","Number of individuals",4991,NA
"1391 Commissioned Officers (Management)","Male","e. $180,000 or more","Number of individuals",320,NA
"1392 Senior Non-commissioned Defence Force Members","Female","a. $18,200 or less","Number of individuals",6,NA
"1392 Senior Non-commissioned Defence Force Members","Female","b. $18,201 to $37,000","Number of individuals",10,NA
"1392 Senior Non-commissioned Defence Force Members","Female","c. $37,001 to $80,000","Number of individuals",213,NA
"1392 Senior Non-commissioned Defence Force Members","Female","d. $80,001 to $180,000","Number of individuals",427,NA
"1392 Senior Non-commissioned Defence Force Members","Female","e. $180,000 or more","Number of individuals",13,NA
"1392 Senior Non-commissioned Defence Force Members","Male","a. $18,200 or less","Number of individuals",33,NA
"1392 Senior Non-commissioned Defence Force Members","Male","b. $18,201 to $37,000","Number of individuals",88,NA
"1392 Senior Non-commissioned Defence Force Members","Male","c. $37,001 to $80,000","Number of individuals",1077,NA
"1392 Senior Non-commissioned Defence Force Members","Male","d. $80,001 to $180,000","Number of individuals",3737,NA
"1392 Senior Non-commissioned Defence Force Members","Male","e. $180,000 or more","Number of individuals",185,NA
"1399 Other Specialist Managers","Female","a. $18,200 or less","Number of individuals",1026,NA
"1399 Other Specialist Managers","Female","b. $18,201 to $37,000","Number of individuals",2059,NA
"1399 Other Specialist Managers","Female","c. $37,001 to $80,000","Number of individuals",6929,NA
"1399 Other Specialist Managers","Female","d. $80,001 to $180,000","Number of individuals",3237,NA
"1399 Other Specialist Managers","Female","e. $180,000 or more","Number of individuals",248,NA
"1399 Other Specialist Managers","Male","a. $18,200 or less","Number of individuals",707,NA
"1399 Other Specialist Managers","Male","b. $18,201 to $37,000","Number of individuals",1192,NA
"1399 Other Specialist Managers","Male","c. $37,001 to $80,000","Number of individuals",6319,NA
"1399 Other Specialist Managers","Male","d. $80,001 to $180,000","Number of individuals",6511,NA
"1399 Other Specialist Managers","Male","e. $180,000 or more","Number of individuals",820,NA
"1411 Cafe and Restaurant Managers","Female","a. $18,200 or less","Number of individuals",3910,NA
"1411 Cafe and Restaurant Managers","Female","b. $18,201 to $37,000","Number of individuals",10277,NA
"1411 Cafe and Restaurant Managers","Female","c. $37,001 to $80,000","Number of individuals",14106,NA
"1411 Cafe and Restaurant Managers","Female","d. $80,001 to $180,000","Number of individuals",1014,NA
"1411 Cafe and Restaurant Managers","Female","e. $180,000 or more","Number of individuals",137,NA
"1411 Cafe and Restaurant Managers","Male","a. $18,200 or less","Number of individuals",1989,NA
"1411 Cafe and Restaurant Managers","Male","b. $18,201 to $37,000","Number of individuals",5332,NA
"1411 Cafe and Restaurant Managers","Male","c. $37,001 to $80,000","Number of individuals",11859,NA
"1411 Cafe and Restaurant Managers","Male","d. $80,001 to $180,000","Number of individuals",1688,NA
"1411 Cafe and Restaurant Managers","Male","e. $180,000 or more","Number of individuals",223,NA
"1412 Caravan Park and Camping Ground Managers","Female","a. $18,200 or less","Number of individuals",135,NA
"1412 Caravan Park and Camping Ground Managers","Female","b. $18,201 to $37,000","Number of individuals",376,NA
"1412 Caravan Park and Camping Ground Managers","Female","c. $37,001 to $80,000","Number of individuals",566,NA
"1412 Caravan Park and Camping Ground Managers","Female","d. $80,001 to $180,000","Number of individuals",81,NA
"1412 Caravan Park and Camping Ground Managers","Female","e. $180,000 or more","Number of individuals",9,NA
"1412 Caravan Park and Camping Ground Managers","Male","a. $18,200 or less","Number of individuals",107,NA
"1412 Caravan Park and Camping Ground Managers","Male","b. $18,201 to $37,000","Number of individuals",364,NA
"1412 Caravan Park and Camping Ground Managers","Male","c. $37,001 to $80,000","Number of individuals",672,NA
"1412 Caravan Park and Camping Ground Managers","Male","d. $80,001 to $180,000","Number of individuals",130,NA
"1412 Caravan Park and Camping Ground Managers","Male","e. $180,000 or more","Number of individuals",19,NA
"1413 Hotel and Motel Managers","Female","a. $18,200 or less","Number of individuals",419,NA
"1413 Hotel and Motel Managers","Female","b. $18,201 to $37,000","Number of individuals",1128,NA
"1413 Hotel and Motel Managers","Female","c. $37,001 to $80,000","Number of individuals",3285,NA
"1413 Hotel and Motel Managers","Female","d. $80,001 to $180,000","Number of individuals",521,NA
"1413 Hotel and Motel Managers","Female","e. $180,000 or more","Number of individuals",68,NA
"1413 Hotel and Motel Managers","Male","a. $18,200 or less","Number of individuals",402,NA
"1413 Hotel and Motel Managers","Male","b. $18,201 to $37,000","Number of individuals",1121,NA
"1413 Hotel and Motel Managers","Male","c. $37,001 to $80,000","Number of individuals",4718,NA
"1413 Hotel and Motel Managers","Male","d. $80,001 to $180,000","Number of individuals",1490,NA
"1413 Hotel and Motel Managers","Male","e. $180,000 or more","Number of individuals",245,NA
"1414 Licensed Club Managers","Female","a. $18,200 or less","Number of individuals",45,NA
"1414 Licensed Club Managers","Female","b. $18,201 to $37,000","Number of individuals",183,NA
"1414 Licensed Club Managers","Female","c. $37,001 to $80,000","Number of individuals",733,NA
"1414 Licensed Club Managers","Female","d. $80,001 to $180,000","Number of individuals",131,NA
"1414 Licensed Club Managers","Female","e. $180,000 or more","Number of individuals",10,NA
"1414 Licensed Club Managers","Male","a. $18,200 or less","Number of individuals",63,NA
"1414 Licensed Club Managers","Male","b. $18,201 to $37,000","Number of individuals",199,NA
"1414 Licensed Club Managers","Male","c. $37,001 to $80,000","Number of individuals",1341,NA
"1414 Licensed Club Managers","Male","d. $80,001 to $180,000","Number of individuals",631,NA
"1414 Licensed Club Managers","Male","e. $180,000 or more","Number of individuals",76,NA
"1419 Other Accommodation and Hospitality Managers","Female","a. $18,200 or less","Number of individuals",99,NA
"1419 Other Accommodation and Hospitality Managers","Female","b. $18,201 to $37,000","Number of individuals",195,NA
"1419 Other Accommodation and Hospitality Managers","Female","c. $37,001 to $80,000","Number of individuals",499,NA
